site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P351 08SEP16 2008.7091 54725 1497 3 -114.7  -1539 -0.846822   4859868  0.453806  2692  0.601547  0.0083 0.000474 0.000652 0.001846  0.040232 -0.047146 -0.137637
P351 08SEP17 2008.7118 54726 1497 4 -114.7  -1539 -0.845998   4859868  0.453762  2692  0.605322  0.0083 0.000485 0.000685 0.001903  0.019641 -0.050678 -0.111432
P351 08SEP18 2008.7146 54727 1497 5 -114.7  -1539 -0.848158   4859868  0.454382  2692  0.608303  0.0083 0.000468 0.000654 0.001842  0.053227 -0.076231 -0.127138
P351 08SEP19 2008.7173 54728 1497 6 -114.7  -1539 -0.846809   4859868  0.454032  2692  0.609787  0.0083 0.000463 0.000648 0.001808  0.061122 -0.071771 -0.136812
P351 08SEP20 2008.7201 54729 1497 7 -114.7  -1539 -0.847081   4859868  0.452579  2692  0.604074  0.0083 0.000463 0.000645 0.001809  0.041333 -0.061876 -0.139937
P351 08SEP21 2008.7228 54730 1498 1 -114.7  -1539 -0.843863   4859868  0.453461  2692  0.602664  0.0083 0.000462 0.000645 0.001801  0.042810 -0.048581 -0.149774
P351 08SEP22 2008.7255 54731 1498 2 -114.7  -1539 -0.846560   4859868  0.455140  2692  0.600496  0.0083 0.000466 0.000649 0.001805  0.068908 -0.061780 -0.133516
P351 08SEP23 2008.7283 54732 1498 3 -114.7  -1539 -0.846307   4859868  0.453853  2692  0.611207  0.0083 0.000466 0.000650 0.001808  0.036595 -0.069943 -0.119429
P351 08SEP24 2008.7310 54733 1498 4 -114.7  -1539 -0.846119   4859868  0.454456  2692  0.608727  0.0083 0.000467 0.000653 0.001825  0.064163 -0.094246 -0.122922
P351 08SEP25 2008.7337 54734 1498 5 -114.7  -1539 -0.848222   4859868  0.450122  2692  0.608164  0.0083 0.000465 0.000646 0.001809  0.049961 -0.079254 -0.145062
P351 08SEP26 2008.7365 54735 1498 6 -114.7  -1539 -0.847134   4859868  0.454164  2692  0.606074  0.0083 0.000465 0.000643 0.001816  0.036958 -0.069109 -0.145731
P351 08SEP27 2008.7392 54736 1498 7 -114.7  -1539 -0.846925   4859868  0.452726  2692  0.608428  0.0083 0.000467 0.000648 0.001817  0.060826 -0.084672 -0.142528
P351 08SEP28 2008.7420 54737 1499 1 -114.7  -1539 -0.848689   4859868  0.453730  2692  0.606740  0.0083 0.000468 0.000650 0.001812  0.042101 -0.076762 -0.115822
P351 08SEP29 2008.7447 54738 1499 2 -114.7  -1539 -0.848326   4859868  0.453950  2692  0.608085  0.0083 0.000464 0.000648 0.001801  0.057727 -0.073035 -0.130706
P351 08SEP30 2008.7474 54739 1499 3 -114.7  -1539 -0.847498   4859868  0.454790  2692  0.604948  0.0083 0.000470 0.000657 0.001827  0.052180 -0.082008 -0.122987
P351 08OCT01 2008.7502 54740 1499 4 -114.7  -1539 -0.846144   4859868  0.453182  2692  0.610883  0.0083 0.000470 0.000652 0.001848  0.048828 -0.080947 -0.149433
